x_0,x_1,t,u_zero_0_t,u_zero_1_t
0.0,1.0,0.0,-0.04835659912317461,-0.009156449200947662
0.0,1.0,0.034482758620689655,-0.04835659912317461,-0.009156449200947662
0.0,1.0,0.06896551724137931,-0.04835659912317461,-0.009156449200947662
0.0,1.0,0.10344827586206896,-0.04835659912317461,-0.009156449200947662
0.0,1.0,0.13793103448275862,-0.04835659912317461,-0.009156449200947662
0.0,1.0,0.1724137931034483,-0.04835659912317461,-0.009156449200947662
0.0,1.0,0.20689655172413793,-0.04835659912317461,-0.009156449200947662
0.0,1.0,0.24137931034482757,-0.04835659912317461,-0.009156449200947662
0.0,1.0,0.27586206896551724,-0.04835659912317461,-0.009156449200947662
0.0,1.0,0.3103448275862069,-0.04835659912317461,-0.009156449200947662
0.0,1.0,0.3448275862068966,-0.04835659912317461,-0.009156449200947662
0.0,1.0,0.3793103448275862,-0.04835659912317461,-0.009156449200947662
0.0,1.0,0.41379310344827586,-0.04835659912317461,-0.009156449200947662
0.0,1.0,0.4482758620689655,-0.04835659912317461,-0.009156449200947662
0.0,1.0,0.48275862068965514,-0.04835659912317461,-0.009156449200947662
0.0,1.0,0.5172413793103449,-0.04835659912317461,-0.009156449200947662
0.0,1.0,0.5517241379310345,-0.04835659912317461,-0.009156449200947662
0.0,1.0,0.5862068965517241,-0.04835659912317461,-0.009156449200947662
0.0,1.0,0.6206896551724138,-0.04835659912317461,-0.009156449200947662
0.0,1.0,0.6551724137931034,-0.04835659912317461,-0.009156449200947662
0.0,1.0,0.6896551724137931,-0.04835659912317461,-0.009156449200947662
0.0,1.0,0.7241379310344828,-0.04835659912317461,-0.009156449200947662
0.0,1.0,0.7586206896551724,-0.04835659912317461,-0.009156449200947662
0.0,1.0,0.7931034482758621,-0.04835659912317461,-0.009156449200947662
0.0,1.0,0.8275862068965517,-0.04835659912317461,-0.009156449200947662
0.0,1.0,0.8620689655172413,-0.04835659912317461,-0.009156449200947662
0.0,1.0,0.896551724137931,-0.04835659912317461,-0.009156449200947662
0.0,1.0,0.9310344827586207,-0.04835659912317461,-0.009156449200947662
0.0,1.0,0.9655172413793103,-0.04835659912317461,-0.009156449200947662
0.0,1.0,1.0,-0.04835659912317461,-0.009156449200947662
